player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,Concussion
Nate Guenin (D),Pittsburgh Penguins,2,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/10810/nate-guenin,2009-10,nhl,Nate Guenin,D,DEF,0,0.0,0
Brock Trotter (C/W),Montréal Canadiens,2,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/11443/brock-trotter,2009-10,nhl,Brock Trotter,C/W,FW,0,0.0,0
Clay Wilson (D),Florida Panthers,2,0,0,0,0.00,0,-5,https://www.eliteprospects.com/player/11404/clay-wilson,2009-10,nhl,Clay Wilson,D,DEF,0,0.0,0
Evan Oberg (D),Vancouver Canucks,2,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/34924/evan-oberg,2009-10,nhl,Evan Oberg,D,DEF,0,0.0,0
Bobby Butler (RW),Ottawa Senators,2,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/33224/bobby-butler,2009-10,nhl,Bobby Butler,RW,FW,0,0.0,0
Jeff Penner (D),Boston Bruins,2,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/17946/jeff-penner,2009-10,nhl,Jeff Penner,D,DEF,0,0.0,0
Derek Smith (D),Ottawa Senators,2,0,0,0,0.00,0,-4,https://www.eliteprospects.com/player/14185/derek-smith,2009-10,nhl,Derek Smith,D,DEF,0,0.0,0
Danny Irmen (C/RW),Minnesota Wild,2,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/11773/danny-irmen,2009-10,nhl,Danny Irmen,C/RW,FW,0,0.0,0
Mario Bliznak (C),Vancouver Canucks,2,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/11598/mario-bliznak,2009-10,nhl,Mario Bliznak,C,FW,0,0.0,0
Andrew Gordon (RW),Washington Capitals,2,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/11449/andrew-gordon,2009-10,nhl,Andrew Gordon,RW,FW,0,0.0,0
Ivan Vishnevsky (D),Dallas Stars,2,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/11890/ivan-vishnevsky,2009-10,nhl,Ivan Vishnevsky,D,DEF,0,0.0,0
Ben Walter (C),New Jersey Devils,2,0,0,0,0.00,2,0,https://www.eliteprospects.com/player/10986/ben-walter,2009-10,nhl,Ben Walter,C,FW,0,0.0,0
Brayden Irwin (C/RW),Toronto Maple Leafs,2,0,0,0,0.00,2,0,https://www.eliteprospects.com/player/38280/brayden-irwin,2009-10,nhl,Brayden Irwin,C/RW,FW,0,0.0,0
Wes O'Neill (D),Colorado Avalanche,2,0,0,0,0.00,2,1,https://www.eliteprospects.com/player/9480/wes-o-neill,2009-10,nhl,Wes O'Neill,D,DEF,0,0.0,0
Micheal Haley (C/W),New York Islanders,2,0,0,0,0.00,9,-3,https://www.eliteprospects.com/player/14655/micheal-haley,2009-10,nhl,Micheal Haley,C/W,FW,0,0.0,0
Jason Jaffray (LW/C),Calgary Flames,3,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/11509/jason-jaffray,2009-10,nhl,Jason Jaffray,LW/C,FW,0,0.0,0
Corey Locke (C),New York Rangers,3,0,0,0,0.00,0,1,https://www.eliteprospects.com/player/10314/corey-locke,2009-10,nhl,Corey Locke,C,FW,0,0.0,0
Jakub Kindl (D),Detroit Red Wings,3,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/9230/jakub-kindl,2009-10,nhl,Jakub Kindl,D,DEF,0,0.0,0
J.T. Wyman (RW/D),Montréal Canadiens,3,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/15059/j.t.-wyman,2009-10,nhl,J.T. Wyman,RW/D,DEF,0,0.0,0
Steven Zalewski (C/LW),San Jose Sharks,3,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/15057/steven-zalewski,2009-10,nhl,Steven Zalewski,C/LW,FW,0,0.0,0
Jared Ross (C/LW),Philadelphia Flyers,3,0,0,0,0.00,0,-1,https://www.eliteprospects.com/player/13416/jared-ross,2009-10,nhl,Jared Ross,C/LW,FW,0,0.0,0
Justin Falk (D),Minnesota Wild,3,0,0,0,0.00,0,-2,https://www.eliteprospects.com/player/12543/justin-falk,2009-10,nhl,Justin Falk,D,DEF,0,0.0,0
Derek Peltier (D),Colorado Avalanche,3,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/12367/derek-peltier,2009-10,nhl,Derek Peltier,D,DEF,0,0.0,0
