player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position,fw_def,Name,Games Missed,head_injuries
Jussi Jokinen (W/C),Dallas Stars,81,17,38,55,0.68,30,2,https://www.eliteprospects.com/player/2716/jussi-jokinen,2005-06,nhl,Jussi Jokinen,W/C,FW,0,0.0,0
Martin Rucinsky (LW),New York Rangers,52,16,39,55,1.06,56,10,https://www.eliteprospects.com/player/8688/martin-rucinsky,2005-06,nhl,Martin Rucinsky,LW,FW,0,0.0,0
Tim Connolly (C),Buffalo Sabres,63,16,39,55,0.87,28,5,https://www.eliteprospects.com/player/8775/tim-connolly,2005-06,nhl,Tim Connolly,C,FW,Tim Connolly,80.0,1
Rick Nash (LW/RW),Columbus Blue Jackets,54,31,23,54,1.00,51,5,https://www.eliteprospects.com/player/3658/rick-nash,2005-06,nhl,Rick Nash,LW/RW,FW,0,0.0,0
Fredrik Modin (LW),Tampa Bay Lightning,77,31,23,54,0.70,56,5,https://www.eliteprospects.com/player/727/fredrik-modin,2005-06,nhl,Fredrik Modin,LW,FW,0,0.0,0
Nikolai Zherdev (LW/RW),Columbus Blue Jackets,73,27,27,54,0.74,50,-13,https://www.eliteprospects.com/player/8620/nikolai-zherdev,2005-06,nhl,Nikolai Zherdev,LW/RW,FW,0,0.0,0
Alexander Frolov (LW),Los Angeles Kings,69,21,33,54,0.78,40,17,https://www.eliteprospects.com/player/8591/alexander-frolov,2005-06,nhl,Alexander Frolov,LW,FW,0,0.0,0
Mike Johnson (RW),Phoenix Coyotes,80,16,38,54,0.68,50,7,https://www.eliteprospects.com/player/5687/mike-johnson,2005-06,nhl,Mike Johnson,RW,FW,0,0.0,0
Joffrey Lupul (RW),Mighty Ducks of Anaheim,81,28,25,53,0.65,48,-13,https://www.eliteprospects.com/player/9001/joffrey-lupul,2005-06,nhl,Joffrey Lupul,RW,FW,0,0.0,0
Glen Murray (RW),Boston Bruins,64,24,29,53,0.83,52,-8,https://www.eliteprospects.com/player/8576/glen-murray,2005-06,nhl,Glen Murray,RW,FW,0,0.0,0
Sergei Samsonov (LW),totals,74,23,30,53,0.72,28,-3,https://www.eliteprospects.com/player/8667/sergei-samsonov,2005-06,nhl,Sergei Samsonov,LW,FW,0,0.0,0
Jamie Langenbrunner (RW),New Jersey Devils,80,19,34,53,0.66,74,-1,https://www.eliteprospects.com/player/8742/jamie-langenbrunner,2005-06,nhl,Jamie Langenbrunner,RW,FW,0,0.0,0
Dan Boyle (D),Tampa Bay Lightning,79,15,38,53,0.67,38,-8,https://www.eliteprospects.com/player/5369/dan-boyle,2005-06,nhl,Dan Boyle,D,DEF,0,0.0,0
Jere Lehtinen (LW),Dallas Stars,80,33,19,52,0.65,30,9,https://www.eliteprospects.com/player/2687/jere-lehtinen,2005-06,nhl,Jere Lehtinen,LW,FW,0,0.0,0
Steven Reinprecht (C),totals,80,22,30,52,0.65,32,11,https://www.eliteprospects.com/player/8725/steven-reinprecht,2005-06,nhl,Steven Reinprecht,C,FW,0,0.0,0
Jozef Stümpel (C),Florida Panthers,74,15,37,52,0.70,26,11,https://www.eliteprospects.com/player/8649/jozef-stumpel,2005-06,nhl,Jozef Stümpel,C,FW,0,0.0,0
Mike York (C),New York Islanders,75,13,39,52,0.69,30,-9,https://www.eliteprospects.com/player/8730/mike-york,2005-06,nhl,Mike York,C,FW,0,0.0,0
Petr Sýkora (RW),totals,74,23,28,51,0.69,50,6,https://www.eliteprospects.com/player/8692/petr-sykora,2005-06,nhl,Petr Sýkora,RW,FW,0,0.0,0
John LeClair (LW),Pittsburgh Penguins,73,22,29,51,0.70,61,-24,https://www.eliteprospects.com/player/8992/john-leclair,2005-06,nhl,John LeClair,LW,FW,0,0.0,0
Mike Ribeiro (C),Montréal Canadiens,79,16,35,51,0.65,36,-6,https://www.eliteprospects.com/player/8715/mike-ribeiro,2005-06,nhl,Mike Ribeiro,C,FW,0,0.0,0
